LANGUAGE, English,French,Italian,Spanish,German, Comment


STRD_01,EUROLeague CTF the Island,S'emparer du drapeau,Cattura la bandiera,Apoderarse de la bandera,Fahne erobern, PreMission

STRD_02,2 minutes remaining,Il vous reste 2 minutes,2 minuti rimasti,Quedan 2 minutos,noch 2 Minuten, Title
STRD_03,5 minutes remaining,Il vous reste 5 minutes,5 minuti rimasti,Quedan 5 minutos,noch 5 Minuten, Title
STRD_04,10 minutes remaining,Il vous reste 10 minutes,10 minuti rimasti,Quedan 10 minutos,noch 10 Minuten, Title
STRD_05,20 minutes remaining,Il vous reste 20 minutes,20 minuti rimasti,Quedan 20 minutos,noch 20 Minuten, Title
STRD_06,30 minutes remaining,Il vous reste 30 minutes,30 minuti rimasti,Quedan 30 minutos,noch 30 Minuten, Title
STRD_07,1 hour remaining,Il vous reste 1 heure,1 ora rimasta,Queda 1 hora,noch 1 Stunde, Title

STRD_08,Time:,Temps :,Tempo:,Tiempo:,Zeit:, Param
STRD_09,Score to win:,Score à atteindre :,Punteggio per vincere:,Puntuación para ganar:,Siegpunktzahl:, Param

STRD_12,Unlimited,Temps illimité,Tempo illimitato,Ilimitado,Unbegrenzt, Param

STRD_13,Game Over\nFinal score - Marines %1 : VietCong %2,Partie terminée\nScore final - Ouest %1 : Est %2,Fine partita\nPunteggio finale - Occidente %1 : Oriente %2,Fin del juego\nResultado - Oeste %1 : Este %2,Spiel vorbei\nEndpunktzahl - Marinesen %1 : Osten %2, Title

STRD_14,1 Flagpoint for the VC!\nStatus - Marines %1 : VC %2,Un point pour l'Est !\nStatut - Ouest %1 : Est %2,Un punto all'Oriente!\nStato - Occidente %1 : Oriente %2,Punto para el Este\nPuntuación - Oeste %1 : Este %2,Ein Punkt für den Osten!\nStand - Marinesen %1 : Osten %2, Status
STRD_15,1 Flagpoint for the Marines!\nStatus - Marines %1 : VC %2,Un point pour l'Ouest !\nStatut - Ouest %1 : Est %2,Un punto all'Occidente!\nStato - Occidente %1 : Oriente %2,Punto para el Oeste\nPuntuación - Oeste %1 : Este %2,Ein Punkt für den Marinesen!\nStand - Marinesen %1 : Osten %2, Status

STRD_16,%1 has the VietCong flag,%1 a le drapeau russe,%1 ha la bandiera russa,%1 tiene la bandera rusa,%1 hat die russische Fahne, Status
STRD_17,%1 has the USA flag,%1 a le drapeau américain,%1 ha la bandiera Marinesa,%1 tiene la bandera estadounidense,%1 hat die US-Fahne, Status

STRD_18,The VietCong flag is back...,Le drapeau russe est de retour...,La bandiera russa è tornata indietro...,La bandera rusa ha sido recuperada,Die russische Fahne ist wieder da ..., Status
STRD_19,The USA flag is back...,Le drapeau américain est de retour...,La bandiera Marinesa è tornata indietro...,La bandera estadounidense ha sido recuperada,Die US-Fahne ist wieder da ..., Status

STRD_30,"%1 is approaching the KILLZONE, turn around now !",%1 a le drapeau américain,%1 ha la bandiera Marinesa,%1 tiene la bandera estadounidense,%1 hat die US-Fahne, Status

STRD_T005,5 min,5 min,5 min.,5 minutos,5 Min., Param
STRD_T010,10 min,10 min,10 min.,10 minutos,10 Min., Param
STRD_T015,15 min,15 min,15 min.,15 minutos,15 Min., Param
STRD_T020,20 min,20 min,20 min.,20 minutos,20 Min., Param
STRD_T025,25 min,25 min,25 min.,25 minutos,25 Min., Param
STRD_T030,30 min,30 min,30 min.,30 minutos,30 Min., Param
STRD_T045,45 min,45 min,45 min.,45 minutos,45 Min., Param
STRD_T060,1 hour,1 heure,1 ora,1 hora,1 Stunde, Param
STRD_T120,2 hours,2 heures,2 ore,2 horas,2 Stunden, Param

Comment,,,,,, ADDED

STRD_20,Show score,Afficher score,Mostra punteggio,Mostrar puntuación,Punkte anzeigen, Radio Title
STRD_21,Status - Marines %1 : VC %2,Statut - Ouest %1 : Est %2,Stato - Occidente %1 : Oriente %2,Estado: Oeste %1 : Este %2,Status - Marinesen %1 : Osten %2, Title


STR_MPW_BASE_Marines,Base - Marines,Base - Ouest,Base - Occidente,Base del bando oeste,Stützpunkt - Marinesen,
STR_MPW_BASE_VC,Base - VC,Base  - Est,Base - Oriente,Base del bando este,Stützpunkt - Osten,
STR_MPW_FLAG_Marines,Flag - Marines,Drapeau - Ouest,Bandiera dell'Occidente,Bandera del bando oeste,Fahne - Marinesen
STR_MPW_FLAG_VC,Flag - VC,Drapeau - Est,Bandiera dell'Oriente,Bandera del bando este,Fahne - Osten
